City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san clemente,33.427,-117.612,17.01,67,0,5.81,US,1712637445
1,codrington,-38.2667,141.9667,13.8,56,99,6.59,AU,1712637832
2,hailar,49.2,119.7,1.49,74,89,4.77,CN,1712637833
3,bredasdorp,-34.5322,20.0403,15.41,87,92,2.39,ZA,1712637834
4,dryden,49.7833,-92.7503,2.16,100,100,2.06,CA,1712637835
5,hauterive,46.0901,3.4459,9.42,91,100,2.94,FR,1712637836
6,mil'kovo,55.6078,37.7956,11.86,89,100,1.18,RU,1712637836
7,sumbawa besar,-8.5,117.4333,31.67,65,98,2.88,ID,1712637837
8,bamboo flat,11.7,92.7167,33.05,58,40,2.57,IN,1712637838
9,west island,-12.1568,96.8225,28.99,79,40,5.66,CC,1712637839
10,alta,69.9689,23.2717,-3.41,86,75,2.57,NO,1712637840
11,adamstown,-25.066,-130.1015,23.87,71,94,3.22,PN,1712637840
12,garbahaarrey,3.3289,42.2209,28.09,64,96,4.09,SO,1712637842
13,longyearbyen,78.2186,15.6401,-12.09,79,100,3.09,SJ,1712637843
14,saipan,15.1355,145.701,31.39,66,40,8.23,MP,1712637844
15,fortaleza,-3.7227,-38.5247,27.07,89,40,2.06,BR,1712637573
16,puerto natales,-51.7236,-72.4875,3.97,87,56,6.24,CL,1712637846
17,bilibino,68.0546,166.4372,-8.46,77,92,1.01,RU,1712637847
18,tsiombe,-25.3,45.4833,23.77,81,98,4.55,MG,1712637848
19,bethel,41.3712,-73.414,12.47,47,100,2.06,US,1712637593
20,ca mau,9.1769,105.15,37.86,31,99,6.06,VN,1712637621
21,san juan de miraflores,-12.1629,-76.9635,23.98,77,100,3.08,PE,1712637851
22,avarua,-21.2078,-159.775,27.03,83,75,5.14,CK,1712637758
23,minas de marcona,-15.2119,-75.1103,17.41,87,92,4.13,PE,1712637852
24,utrik,11.2278,169.8474,26.73,81,92,9.99,MH,1712637853
25,waitangi,-43.9535,-176.5597,14.9,82,87,2.24,NZ,1712637854
26,tiksi,71.6872,128.8694,-6.02,83,100,11.1,RU,1712637855
27,ribeira grande,38.5167,-28.7,17.1,96,73,6.71,PT,1712637855
28,la ronge,55.1001,-105.2842,6.14,65,100,0.0,CA,1712637856
29,piacabucu,-10.4056,-36.4344,26.16,86,8,2.47,BR,1712637857
30,hasaki,35.7333,140.8333,14.05,94,100,11.32,JP,1712637560
31,petropavlovsk-kamchatsky,53.0452,158.6483,2.47,82,75,4.0,RU,1712637651
32,port elizabeth,-33.918,25.5701,17.83,95,96,6.71,ZA,1712637616
33,port-aux-francais,-49.35,70.2167,8.27,91,100,17.25,TF,1712637861
34,hawaiian paradise park,19.5933,-154.9731,22.24,93,100,4.12,US,1712637862
35,mount isa,-20.7333,139.5,28.87,24,52,8.75,AU,1712637863
36,tura,25.5198,90.2201,34.38,24,83,2.9,IN,1712637620
37,barcelos,41.5388,-8.6151,7.73,92,10,1.77,PT,1712637812
38,hamilton,39.1834,-84.5333,17.5,84,40,3.6,US,1712637375
39,saint-joseph,-21.3667,55.6167,27.21,73,81,2.68,RE,1712637866
40,ta`u,-14.2336,-169.5144,29.03,78,75,5.16,AS,1712637867
41,mana,5.6592,-53.7767,25.98,82,22,4.25,GF,1712637868
42,sao jose da coroa grande,-8.8978,-35.1478,25.78,82,85,1.06,BR,1712637869
43,abashiri,44.0213,144.2697,-0.84,100,75,6.17,JP,1712637870
44,punta arenas,-53.15,-70.9167,4.06,81,75,4.12,CL,1712637407
45,west hoxton,-33.9167,150.85,18.78,77,99,5.81,AU,1712637871
46,tera,14.0078,0.7531,29.85,36,93,4.22,NE,1712637608
47,tame,6.461,-71.73,26.74,52,78,2.12,CO,1712637873
48,kodiak,57.79,-152.4072,-1.27,55,100,8.23,US,1712637874
49,isafjordur,66.0755,-23.124,-4.56,90,100,6.52,IS,1712637875
50,lander,42.833,-108.7307,3.77,48,0,3.09,US,1712637876
51,waat,51.1454,6.4958,15.5,89,100,2.57,DE,1712637877
52,pyin oo lwin,22.0333,96.4667,33.9,19,0,4.52,MM,1712637878
53,cheremushki,52.8356,91.3944,15.94,50,74,1.12,RU,1712637879
54,iskateley,67.6803,53.1512,-15.55,97,96,1.79,RU,1712637879
55,albany,42.6001,-73.9662,9.4,67,74,2.24,US,1712637674
56,mejit,10.2753,170.8646,26.84,83,98,10.63,MH,1712637881
57,ploneour-lanvern,47.9,-4.2833,9.16,71,20,8.23,FR,1712637882
58,filadelfia,39.9523,-75.1638,13.98,67,75,2.57,US,1712637663
59,blackmans bay,-43.0167,147.3167,15.07,50,69,4.67,AU,1712637883
60,cockburn town,21.4612,-71.1419,24.13,62,100,7.76,TC,1712637884
61,yellowknife,62.456,-114.3525,-0.71,80,20,3.09,CA,1712637885
62,louisville,38.2542,-85.7594,19.01,82,0,4.12,US,1712637818
63,morinville,53.8001,-113.652,8.77,49,75,1.54,CA,1712637702
64,georgetown,5.4112,100.3354,32.96,66,20,2.57,MY,1712637771
65,jamestown,42.097,-79.2353,10.8,66,0,2.06,US,1712637783
66,eyl,7.9803,49.8164,29.0,60,95,3.81,SO,1712637889
67,timbuktu,16.7735,-3.0074,29.81,29,87,4.21,ML,1712637627
68,constantia,44.1833,28.65,11.5,69,2,3.16,RO,1712637891
69,lebu,-37.6167,-73.65,11.33,92,100,6.48,CL,1712637892
70,punta cana,18.5818,-68.4043,25.87,73,40,5.14,DO,1712637893
71,pudasjarvi,65.3833,26.9167,0.81,96,98,3.2,FI,1712637894
72,xinyuan,37.3,99.0,1.39,65,100,2.64,CN,1712637895
73,la passe,45.5549,-0.8967,9.99,74,9,8.02,FR,1712637896
74,mar del plata,-38.0023,-57.5575,19.49,93,75,4.12,AR,1712637736
75,fort bragg,35.139,-79.006,17.91,59,100,3.6,US,1712637709
76,wailua homesteads,22.0669,-159.378,26.24,85,75,10.29,US,1712637898
77,keflavik,64.0049,-22.5624,1.24,69,0,9.26,IS,1712637899
78,ushuaia,-54.8,-68.3,1.81,75,0,1.54,AR,1712637701
79,cabo san lucas,22.8909,-109.9124,20.61,75,100,1.34,MX,1712637673
80,poronaysk,49.2167,143.1167,3.53,45,76,6.55,RU,1712637902
81,ust'-kut,56.7938,105.7672,0.38,72,99,1.67,RU,1712637902
82,anadyr,64.75,177.4833,-8.72,61,75,5.0,RU,1712637754
83,berezovyy,51.6667,135.7,6.57,40,72,1.12,RU,1712637904
84,salinopolis,-0.6136,-47.3561,25.62,88,96,1.02,BR,1712637905
85,kruisfontein,-34.0033,24.7314,16.6,95,100,7.11,ZA,1712637906
86,owase,34.0667,136.2,13.08,65,86,4.64,JP,1712637907
87,weno,7.4515,151.8468,31.97,74,40,4.63,FM,1712637908
88,hell-ville,-13.4,48.2667,25.93,79,75,0.0,MG,1712637909
89,kempsey,-31.0833,152.8333,20.34,70,62,2.37,AU,1712637765
90,iqaluit,63.7506,-68.5145,-14.15,71,20,4.63,CA,1712637911
91,kapuskasing,49.4169,-82.4331,9.0,43,100,2.57,CA,1712637912
92,jambi city,-1.6,103.6167,28.23,88,89,0.86,ID,1712637912
93,amga,60.8953,131.9608,-0.56,94,100,1.63,RU,1712637913
94,sragen,-7.4264,111.0222,30.15,74,95,1.56,ID,1712637914
95,roven'ky,48.0833,39.3776,15.09,50,49,1.82,UA,1712637915
96,khorugh,37.4897,71.553,-2.94,52,55,0.35,TJ,1712637918
97,olonkinbyen,70.9221,-8.7187,-3.59,68,69,7.63,SJ,1712637919
98,kailua-kona,19.6406,-155.9956,25.98,82,75,2.57,US,1712637911
99,gulnar,36.3415,33.3992,6.65,83,100,3.15,TR,1712637922
100,laascaanood,8.4774,47.3597,23.96,69,88,3.92,SO,1712637924
101,san jose del cabo,23.0589,-109.6977,20.6,67,40,1.03,MX,1712637704
102,vorgashor,67.5833,63.95,-19.61,97,99,1.64,RU,1712637927
103,stanley,54.868,-1.6985,8.21,97,75,3.6,GB,1712637928
104,badger,64.8,-147.5333,1.14,72,75,2.57,US,1712637740
105,tolanaro,-25.0319,46.9987,23.04,94,40,2.57,MG,1712637930
106,susuman,62.7833,148.1667,-6.68,74,99,1.79,RU,1712637932
107,alofi,-19.0595,-169.9187,26.94,89,40,3.6,NU,1712637934
108,atafu village,-8.5421,-172.5159,30.27,74,18,4.6,TK,1712637936
109,ulsteinvik,62.3432,5.8487,8.07,77,72,4.62,NO,1712637937
110,gadzhiyevo,69.2551,33.3362,-3.49,93,99,3.56,RU,1712637939
111,filingue,14.3521,3.3168,28.59,18,79,3.69,NE,1712637941
112,beyneu,45.3167,55.2,14.69,45,48,1.65,KZ,1712637679
113,gorontalo,0.5412,123.0595,29.93,76,64,1.39,ID,1712637944
114,borskoye,53.0333,51.7167,10.01,81,100,3.57,RU,1712637945
115,voznesenskoye,54.89,42.7569,9.02,97,100,0.45,RU,1712637947
116,longgang,37.6508,120.3286,8.11,57,52,6.8,CN,1712637948
117,karratha,-20.7377,116.8463,27.06,39,98,12.03,AU,1712637917
118,boueni,-12.9025,45.0761,28.99,71,98,3.11,YT,1712637951
119,karaton,-6.3424,106.1045,33.04,52,89,2.57,ID,1712637952
120,ilulissat,69.2167,-51.1,-10.99,73,100,2.06,GL,1712637954
121,port mathurin,-19.6833,63.4167,26.74,76,42,3.1,MU,1712637956
122,buenaventura,3.8801,-77.0312,24.36,96,100,1.07,CO,1712637958
123,kourou,5.1552,-52.6478,26.03,90,45,2.51,GF,1712637960
124,papatowai,-46.5619,169.4708,17.02,67,100,3.44,NZ,1712637961
125,nelson bay,-32.7167,152.15,22.27,64,77,5.81,AU,1712637962
126,lubango,-14.9172,13.4925,15.92,100,100,1.03,AO,1712637780
127,mammoth lakes,37.6485,-118.9721,-1.52,52,0,1.54,US,1712637965
128,nemuro,43.3236,145.575,0.08,96,100,14.1,JP,1712637967
129,las navas del marques,40.6024,-4.3345,0.91,88,51,5.75,ES,1712637968
130,al lagowa,11.4,29.1333,26.82,10,79,4.62,SD,1712637969
131,divnoye,45.9089,43.3547,12.64,55,1,4.85,RU,1712637971
132,kyakhta,50.3508,106.4494,8.89,37,72,1.43,RU,1712637973
133,grytviken,-54.2811,-36.5092,1.73,94,100,2.35,GS,1712637974
134,mangrol,21.1167,70.1167,30.08,48,0,3.68,IN,1712637975
135,al ain city,24.1917,55.7606,28.79,24,0,2.57,AE,1712637767
136,labrador city,52.9463,-66.9114,-6.05,73,100,4.12,CA,1712637977
137,popondetta,-8.7537,148.2534,28.35,89,66,1.97,PG,1712637978
138,nadi,-17.8,177.4167,29.0,79,100,2.57,FJ,1712637765
139,panama city beach,30.1766,-85.8055,18.34,74,0,3.09,US,1712637795
140,puerto ayora,-0.7393,-90.3518,25.27,91,37,2.55,EC,1712637981
141,kamloops,50.6665,-120.3192,10.55,40,75,3.09,CA,1712637774
142,petrolina,-9.3986,-40.5008,25.03,88,75,3.09,BR,1712637703
143,ghanzi,-21.5667,21.7833,16.04,28,65,3.31,BW,1712637985
144,pisco,-13.7,-76.2167,22.03,83,99,4.63,PE,1712637855
145,invercargill,-46.4,168.35,18.08,67,100,3.22,NZ,1712637989
146,whitehorse,60.7161,-135.0538,3.43,44,75,4.12,CA,1712637991
147,edinburgh of the seven seas,-37.0676,-12.3116,18.98,91,100,13.02,SH,1712637992
148,namibe,-15.1961,12.1522,21.55,80,100,1.22,AO,1712637951
149,san antonio de pale,-1.4014,5.6325,27.97,77,100,3.17,GQ,1712637994
150,usogorsk,63.4106,48.6872,-8.52,96,93,2.67,RU,1712637995
151,al jawf,29.5,38.75,17.44,49,0,6.25,SA,1712637996
152,jawf al maqbabah,13.8378,45.8349,25.33,48,87,1.29,YE,1712637997
153,brisas de zicatela,15.8369,-97.0419,26.86,73,39,2.94,MX,1712637998
154,sabang,5.8933,95.3214,29.33,73,100,5.76,ID,1712637999
155,kidal,18.4411,1.4078,26.41,9,30,1.17,ML,1712638000
156,enewetak,11.3474,162.3373,27.36,80,100,9.38,MH,1712638001
157,fale old settlement,-9.3852,-171.2468,30.3,74,10,5.03,TK,1712638003
158,lodja,-3.4833,23.4333,21.0,96,97,0.55,CD,1712638004
159,la villa del rosario,10.3258,-72.3134,27.53,66,87,7.46,VE,1712638006
160,troitsko-pechorsk,62.7084,56.1964,-6.84,92,46,3.58,RU,1712638007
161,harper,4.375,-7.7169,27.55,82,44,3.0,LR,1712638008
162,grand falls-windsor,48.9332,-55.6649,-1.94,83,100,2.24,CA,1712638002
163,summerside,46.3959,-63.7876,3.16,75,34,5.66,CA,1712638009
164,ladario,-19.0047,-57.6017,26.55,74,100,0.46,BR,1712638010
165,esmeralda,21.8525,-78.1169,22.53,77,77,5.21,CU,1712638012
166,al muwayh,22.4333,41.7583,24.05,41,90,3.02,SA,1712638013
167,twon-brass,4.3151,6.2418,28.41,76,96,2.89,NG,1712638014
168,kill devil hills,36.0307,-75.676,15.55,67,0,5.14,US,1712638016
169,biharamulo,-2.6319,31.3089,17.08,93,98,0.59,TZ,1712638017
170,crane,31.3974,-102.3501,19.82,77,71,8.2,US,1712638019
171,igarka,67.4667,86.5833,-9.99,89,100,5.36,RU,1712638020
172,banda aceh,5.5577,95.3222,32.13,60,54,3.78,ID,1712637759
173,laguna,38.421,-121.4238,15.98,46,0,3.6,US,1712638023
174,whitby,54.4877,-0.615,10.17,89,100,1.79,GB,1712637978
175,necochea,-38.5473,-58.7368,18.59,64,47,5.64,AR,1712637809
176,aasiaat,68.7098,-52.8699,-14.76,100,93,3.02,GL,1712638026
